design_contract_id,test_case_id,coverage
DC-001,TC-001,partial
DC-001,TC-002,partial
DC-001,TC-003,partial
DC-001,TC-004,partial
DC-001,TC-005,partial
DC-001,TC-006,partial
DC-001,TC-007,partial
DC-001,TC-008,partial
DC-002,TC-009,partial
DC-002,TC-010,partial
DC-002,TC-011,partial
DC-002,TC-012,partial
DC-003,TC-013,partial
DC-003,TC-014,partial
DC-003,TC-015,partial
DC-003,TC-016,partial
DC-003,TC-017,partial
DC-003,TC-018,partial
DC-003,TC-019,partial
DC-003,TC-020,partial
DC-006,TC-021,full
DC-006,TC-022,full
DC-006,TC-023,full
DC-006,TC-024,full
DC-006,TC-025,full
DC-006,TC-026,full
DC-006,TC-027,full
DC-006,TC-028,full
DC-006,TC-029,full
DC-001,TC-030,full
DC-001,TC-031,full
DC-001,TC-032,full
DC-001,TC-033,full
DC-001,TC-034,full
DC-001,TC-035,full
DC-001,TC-036,full
